date,c1,c2,c3,p1,p2,p3,stability,c1_new
01-01-2024 00:00,-1.940140337,-0.798906314,-1.171796201,0.209084422,0.125429624,0.056619481,stable,-1.9401263646500002
01-01-2024 01:00,-1.431471363,-0.523454937,-1.481921673,0.659984792,0.565942405,0.252764134,stable,-1.4314586543300003
01-01-2024 02:00,-0.791358018,-1.134176298,-1.023553277,0.083137496,0.411446264,0.376175865,stable,-0.7913640723299992
01-01-2024 03:00,-1.291775264,-1.943313886,-1.536860574,0.805779718,0.431950308,0.222319015,unstable,-1.2917965777599991
01-01-2024 04:00,-0.532245772,-1.734586338,-0.845010674,0.067429575,0.766504294,0.349372469,stable,-0.532250187510001
01-01-2024 05:00,-1.114195127,-1.984422268,-1.851120016,0.753471092,0.874450083,0.912597098,unstable,-1.1142037516100014
01-01-2024 06:00,-1.926900337,-1.807635619,-1.70882044,0.068342557,0.72399897,0.657871481,stable,-1.926901908160002
01-01-2024 07:00,-1.695463225,-1.434699292,-1.321186564,0.766336819,0.054669955,0.172991321,unstable,-1.6954546787599978
01-01-2024 08:00,-0.913626828,-1.618268128,-1.542963041,0.12902497,0.748910492,0.365406167,unstable,-0.9136102902800006
01-01-2024 09:00,-1.60171599,-1.672681124,-0.789573783,0.300385637,0.091459957,0.35869444,stable,-1.6017998525900001
01-01-2024 10:00,-1.075154175,-1.14805741,-1.151822324,0.677774465,0.820076848,0.856672611,unstable,-1.0751679534299985
01-01-2024 11:00,-1.73113488,-1.373888525,-1.22966594,0.7917187,0.057549147,0.994604585,unstable,-1.7311440234700015
01-01-2024 12:00,-1.531380514,-1.657406732,-1.066122767,0.108242102,0.05037667,0.652582024,stable,-1.5313728936200028
01-01-2024 13:00,-0.680261361,-1.654228623,-1.841097174,0.28971376,0.619671633,0.220219567,unstable,-0.6802678994099999
01-01-2024 14:00,-1.946858675,-1.553272507,-0.999940724,0.361521656,0.665030452,0.066459123,stable,-1.9468553318399977
01-01-2024 15:00,-0.63711044,-0.596276148,-1.944270083,0.167547684,0.75378075,0.19066777,stable,-0.6370939960400005
01-01-2024 16:00,-1.307720602,-0.521663646,-1.080287592,0.253829941,0.886428151,0.878350345,unstable,-1.307738812240002
01-01-2024 17:00,-0.750992152,-1.074301798,-0.980681442,0.620930677,0.613543264,0.858419532,stable,-0.7509862739699997
01-01-2024 18:00,-1.622151683,-1.527049587,-1.263908586,0.640298261,0.9824202,0.706611591,unstable,-1.6221027233300014
01-01-2024 19:00,-1.556087664,-1.99116061,-0.61594585,0.955890373,0.944593625,0.660278792,unstable,-1.5560836775799973
01-01-2024 20:00,-1.761338024,-0.916214997,-0.682662073,0.607776867,0.108506919,0.266326749,unstable,-1.761335231209997
01-01-2024 21:00,-1.374753955,-0.765371976,-0.889527066,0.363579832,0.87945324,0.587709237,stable,-1.3747390234700005
01-01-2024 22:00,-0.825050525,-0.865248823,-1.950769731,0.305136191,0.126532086,0.58473623,stable,-0.8250446163799998
01-01-2024 23:00,-1.353320078,-0.965076767,-1.195454721,0.771991871,0.370267277,0.470652897,unstable,-1.3533401502599998
02-01-2024 00:00,-1.126297151,-1.05862417,-0.630698882,0.403045251,0.602009296,0.196958121,unstable,-1.1262952274200004
02-01-2024 01:00,-0.787467179,-1.28360217,-0.585497045,0.579441979,0.468652767,0.760248197,unstable,-0.7874680010099993
02-01-2024 02:00,-1.139091717,-0.830701687,-0.674237216,0.217120024,0.962377865,0.568559501,unstable,-1.1391105137599995
02-01-2024 03:00,-0.80257873,-1.067510674,-1.709479838,0.861306204,0.912846166,0.416478445,unstable,-0.8025745197999993
02-01-2024 04:00,-0.777641949,-1.512090161,-0.628484372,0.914791086,0.572067151,0.26843127,stable,-0.7776350092500001
02-01-2024 05:00,-1.038529752,-0.988174548,-1.59848977,0.946910103,0.272921667,0.219016378,unstable,-1.0385268808600003
02-01-2024 06:00,-0.861629086,-1.673880134,-1.139620647,0.204406659,0.227857513,0.201167045,unstable,-0.8616095687499999
02-01-2024 07:00,-1.936736737,-0.661474929,-1.066791374,0.776243857,0.476100186,0.898712116,unstable,-1.9367346602599982
02-01-2024 08:00,-1.051866319,-1.713499077,-1.463874456,0.333614625,0.799195621,0.059422667,stable,-1.0518735337099996
02-01-2024 09:00,-1.284469181,-1.941101255,-0.948645535,0.974358876,0.803759614,0.918254101,unstable,-1.2844495944600018
02-01-2024 10:00,-0.729863238,-1.376552677,-1.409183707,0.727994846,0.857304281,0.351772616,stable,-0.7298578666199994
02-01-2024 11:00,-0.860838899,-0.887206055,-0.992318091,0.157214726,0.414038971,0.377609331,stable,-0.8608592304499999
02-01-2024 12:00,-0.624019691,-0.906874561,-1.246827561,0.596053514,0.76500684,0.863713011,unstable,-0.6240286583100005
02-01-2024 13:00,-1.367103857,-0.728235678,-1.624862799,0.282759256,0.932732214,0.793356303,unstable,-1.367116521580001
02-01-2024 14:00,-0.650033204,-1.313855404,-1.124948951,0.990376004,0.25179752,0.469819112,stable,-0.6500389177800008
02-01-2024 15:00,-1.584839134,-0.663571193,-0.560403704,0.82910121,0.959389104,0.100066431,unstable,-1.5848236161599993
02-01-2024 16:00,-1.485450145,-1.676690402,-0.529599018,0.137890759,0.524049281,0.115007888,stable,-1.4853709689200003
02-01-2024 17:00,-1.456901575,-1.197000144,-0.668682376,0.077074694,0.23800383,0.597608602,unstable,-1.4569186262900007
