date,c1,c2,c3,p1,p2,p3,stability
01-01-2024 00:00,-1.940140337,-0.798906314,-1.1717825785100018,0.209084422,0.125429624,0.056619481,stable
01-01-2024 01:00,-1.431471363,-0.523454937,-1.481902504640001,0.659984792,0.565942405,0.252764134,stable
01-01-2024 02:00,-0.791358018,-1.134176298,-1.0235453937100003,0.083137496,0.411446264,0.376175865,stable
01-01-2024 03:00,-1.291775264,-1.943313886,-1.536959659869999,0.805779718,0.431950308,0.222319015,unstable
01-01-2024 04:00,-0.532245772,-1.734586338,-0.8450099503399994,0.067429575,0.766504294,0.349372469,stable
01-01-2024 05:00,-1.114195127,-1.984422268,-1.851124485760001,0.753471092,0.874450083,0.912597098,unstable
01-01-2024 06:00,-1.926900337,-1.807635619,-1.7088259808400008,0.068342557,0.72399897,0.657871481,stable
01-01-2024 07:00,-1.695463225,-1.434699292,-1.3212456398,0.766336819,0.054669955,0.172991321,unstable
01-01-2024 08:00,-0.913626828,-1.618268128,-1.5429559951499996,0.12902497,0.748910492,0.365406167,unstable
01-01-2024 09:00,-1.60171599,-1.672681124,-0.7895638612099998,0.300385637,0.091459957,0.35869444,stable
01-01-2024 10:00,-1.075154175,-1.14805741,-1.1518345174599989,0.677774465,0.820076848,0.856672611,unstable
01-01-2024 11:00,-1.73113488,-1.373888525,-1.2296799620000005,0.7917187,0.057549147,0.994604585,unstable
01-01-2024 12:00,-1.531380514,-1.657406732,-1.0661163516299992,0.108242102,0.05037667,0.652582024,stable
01-01-2024 13:00,-0.680261361,-1.654228623,-1.8410984708099987,0.28971376,0.619671633,0.220219567,unstable
01-01-2024 14:00,-1.946858675,-1.553272507,-0.9999587207599996,0.361521656,0.665030452,0.066459123,stable
01-01-2024 15:00,-0.63711044,-0.596276148,-1.9442696811399989,0.167547684,0.75378075,0.19066777,stable
01-01-2024 16:00,-1.307720602,-0.521663646,-1.08029698875,0.253829941,0.886428151,0.878350345,unstable
01-01-2024 17:00,-0.750992152,-1.074301798,-0.9807032873700012,0.620930677,0.613543264,0.858419532,stable
01-01-2024 18:00,-1.622151683,-1.527049587,-1.2638970419599986,0.640298261,0.9824202,0.706611591,unstable
01-01-2024 19:00,-1.556087664,-1.99116061,-0.6159264326300009,0.955890373,0.944593625,0.660278792,unstable
01-01-2024 20:00,-1.761338024,-0.916214997,-0.682681482690001,0.607776867,0.108506919,0.266326749,unstable
01-01-2024 21:00,-1.374753955,-0.765371976,-0.889579224290001,0.363579832,0.87945324,0.587709237,stable
